verse,ar,en,timestamps
2:8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ,"And of the people are some who say,",0:04.469
,ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْـَٔاخِرِ,"""We believe in Allah and the Last Day,""",0:07.653
,وَمَا هُم بِمُؤْمِنِينَ,but they are not believers.,0:12.146
2:9,يُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا,"They [think to] deceive Allah and those who believe,",0:16.585
,وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ,but they deceive not except themselves,0:20.813
,وَمَا يَشْعُرُونَ,and perceive [it] not.,0:25.520
2:10,فِى قُلُوبِهِم مَّرَضٌ,"In their hearts is disease,",0:28.386
,فَزَادَهُمُ ٱللَّهُ مَرَضًا ۖ,so Allah has increased their disease;,0:31.280
,وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا يَكْذِبُونَ,and for them is a painful punishment because they [habitually] used to lie.,0:34.640
2:11,وَإِذَا قِيلَ لَهُمْ,"And when it is said to them,",0:41.934
,لَا تُفْسِدُوا فِى ٱلْأَرْضِ,"""Do not cause corruption on the earth,""",0:43.880
,قَالُوٓا إِنَّمَا نَحْنُ مُصْلِحُونَ,"they say, ""We are but reformers.""",0:46.346
2:12,أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ,"Unquestionably, it is they who are the corrupters,",0:51.944
,وَلَـٰكِن لَّا يَشْعُرُونَ,but they perceive [it] not.,0:56.133
,,,0:59.702
