verse,ar,en,nl,timestamps
76:11,فَوَقَىهُمُ اللَّهُ شَرَّ ذَلِكَ الْيَوْمِ,So Allah will protect them from the evil of that Day,Allah zal hen op die Dag beschermen voor het kwaad,0:00.000
,وَلَقَّىهُمْ نَضْرَةً وَسُرُورًا,and give them radiance and happiness,en hen glans en blijdschap schenken.,0:04.160
76:12,وَجَزَىهُم بِمَا صَبَرُوا,And will reward them for what they patiently endured,En Hij zal hen vanwege hun geduldige volharding belonen,0:08.114
,جَنَّةً وَحَرِيرًا,[with] a garden [in Paradise] and silk [garments].,met het Paradijs en met zijde.,0:10.653
76:13,مُّتَّكِـِٔينَ فِيهَا عَلَى الْأَرَائِكِ,[They will be] reclining therein on adorned couches.,Leunend zitten zij daarin op verheven tronen.,0:13.667
,لَا يَرَوْنَ فِيهَا شَمْسًا,They will not see therein any [burning] sun,Zij vinden daarin geen zon,0:17.386
,وَلَا زَمْهَرِيرًا,or [freezing] cold.,en geen kou.,0:19.853
76:14,وَدَانِيَةً عَلَيْهِمْ ظِلَلُهَا,"And near above them are its shades,",En haar schaduwen zijn voor hen dichtbij,0:22.074
,وَذُلِّلَتْ قُطُوفُهَا تَذْلِيلًا,and its [fruit] to be picked will be lowered in compliance.,"en de trossen fruit daarvan hangen laag, binnen hun bereik.",0:25.760
76:15,وَيُطَافُ عَلَيْهِم بَِٔانِيَةٍ,And there will be circulated among them vessels,En onder hen wordt rondgegaan met schalen,0:29.387
,بَِٔانِيَةٍ مِّن فِضَّةٍ وَأَكْوَابٍ,vessels of silver and cups,zilveren schalen en glazen,0:32.586
,وَأَكْوَابٍ كَانَتْ قَوَارِيرَا,"and cups having been [created] clear [as glass],",en glazen van kristal.,0:37.306
76:16,قَوَارِيرَا مِن فِضَّةٍ,Clear glasses [made] from silver,"Kristalhelder, gemaakt van zilver.",0:41.304
,قَدَّرُوهَا تَقْدِيرًا,of which they have determined the measure.,Zij zullen de maat daarvan bepalen volgens hun wensen.,0:44.346
76:17,وَيُسْقَوْنَ فِيهَا كَأْسًا,And they will be given to drink a cup [of wine],En daarin wordt er voor hen geschonken uit een beker,0:47.377
,كَانَ مِزَاجُهَا زَنجَبِيلًا,whose mixture is of ginger,waarvan de mengdrank gember is.,0:49.960
76:18,عَيْنًا فِيهَا تُسَمَّى سَلْسَبِيلًا,"[From] a fountain within it [i.e., Paradise] named Salsabeel.",Er bevindt zich daarin een bron die Salsabil genoemd wordt.,0:53.305
76:19,وَيَطُوفُ عَلَيْهِمْ وِلْدَنٌ مُّخَلَّدُونَ,There will circulate among them young boys made eternal.,En onder hen wordt rondgegaan door eeuwig jeugdigen.,0:57.628
,إِذَا رَأَيْتَهُمْ,"When you see them,","Als jij hen ziet,",1:02.973
,حَسِبْتَهُمْ لُؤْلُؤًا مَّنثُورًا,you would think them [as beautiful as] scattered pearls.,dan denk jij dat zij verstrooide parels zijn.,1:04.346
76:20,وَإِذَا رَأَيْتَ,"And when you look there [in Paradise],","En als jij rondkijkt,",1:08.016
,ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا,you will see pleasure and great dominion.,dan zie jij een vreugde en een groot koninkrijk.,1:09.920
,وَإِذَا رَأَيْتَ,"And when you look there [in Paradise],","En als jij rondkijkt,",1:14.813
,ثَمَّ رَأَيْتَ نَعِيمًا وَمُلْكًا كَبِيرًا,you will see pleasure and great dominion.,dan zie jij een vreugde en een groot koninkrijk.,1:16.133
76:21,عَلِيَهُمْ ثِيَابُ سُندُسٍ خُضْرٌ وَإِسْتَبْرَقٌ,"Upon them [i.e., the inhabitants] will be green garments of fine silk and brocade.",Hun kleding zal van fijne groene zijde en goud borduursel zijn.,1:21.198
,وَحُلُّوا أَسَاوِرَ مِن فِضَّةٍ,"And they will be adorned with bracelets of silver,",Zij zullen versierd worden met zilveren armbanden,1:26.506
,وَسَقَىهُمْ رَبُّهُمْ شَرَابًا طَهُورًا,and their Lord will give them a purifying drink.,en hun Heer zal hen een zuivere drank geven.,1:29.680
,وَسَقَىهُمْ رَبُّهُمْ شَرَابًا طَهُورًا,and their Lord will give them a purifying drink.,en hun Heer zal hen een zuivere drank geven.,1:35.000
76:22,إِنَّ هَذَا كَانَ لَكُمْ جَزَاءً,"[And it will be said], ""Indeed, this is for you a reward,","(En er zal tegen hen gezegd worden): ""Waarlijk, dit is een beloning voor jullie",1:39.664
,وَكَانَ سَعْيُكُم,and your effort,en jullie inspanningen,1:44.800
,وَكَانَ سَعْيُكُم مَّشْكُورًا,"and your effort has been appreciated.""","en jullie inspanningen zijn aanvaard.""",1:47.373
,,,,1:52.405
