verse,ar,en,timestamps
2:187,أُحِلَّ لَكُمْ,It has been made permissible for you,0:00.776
,لَيْلَةَ ٱلصِّيَامِ ٱلرَّفَثُ إِلَىٰ نِسَآئِكُمْ ۚ,the night preceding fasting to go to your wives [for sexual relations].,0:01.920
,هُنَّ لِبَاسٌ لَّكُمْ,They are a clothing for you,0:08.493
,وَأَنتُمْ لِبَاسٌ لَّهُنَّ ۗ,and you are a clothing for them.,0:11.213
,عَلِمَ ٱللَّهُ,Allah knows,0:15.200
,أَنَّكُمْ كُنتُمْ تَخْتَانُونَ أَنفُسَكُمْ,"that you used to deceive yourselves,",0:16.493
,فَتَابَ عَلَيْكُمْ,so He accepted your repentance,0:22.773
,وَعَفَا عَنكُمْ ۖ,and forgave you.,0:24.280
,فَٱلْـَٔـٰنَ بَـٰشِرُوهُنَّ,"So now, have relations with them",0:27.453
,وَٱبْتَغُوا مَا كَتَبَ ٱللَّهُ لَكُمْ ۚ,"and seek that which Allah has decreed for you [i.e., offspring].",0:30.066
,وَكُلُوا وَٱشْرَبُوا,And eat and drink,0:34.173
,حَتَّىٰ يَتَبَيَّنَ لَكُمُ ٱلْخَيْطُ ٱلْأَبْيَضُ,until the white thread of dawn becomes distinct to you,0:35.733
,مِنَ ٱلْخَيْطِ ٱلْأَسْوَدِ,from the black thread,0:40.133
,مِنَ ٱلْخَيْطِ ٱلْأَسْوَدِ مِنَ ٱلْفَجْرِ ۖ,from the black thread [of night].,0:43.186
,ثُمَّ أَتِمُّوا ٱلصِّيَامَ إِلَى ٱلَّيْلِ ۚ,"Then complete the fast until the night [i.e., sunset].",0:46.826
,وَلَا تُبَـٰشِرُوهُنَّ,And do not have relations with them,0:52.706
,وَأَنتُمْ عَـٰكِفُونَ فِى ٱلْمَسَـٰجِدِ ۗ,as long as you are staying for worship in the mosques.,0:55.040
,تِلْكَ حُدُودُ ٱللَّهِ,"These are the limits [set by] Allah,",0:59.426
,تِلْكَ حُدُودُ ٱللَّهِ,"These are the limits [set by] Allah,",1:03.306
,فَلَا تَقْرَبُوهَا ۗ,so do not approach them.,1:05.546
,كَذَٰلِكَ يُبَيِّنُ ٱللَّهُ ءَايَـٰتِهِۦ لِلنَّاسِ,"Thus does Allah make clear His verses [i.e., ordinances] to the people",1:08.453
,لَعَلَّهُمْ يَتَّقُونَ,that they may become righteous.,1:13.146
,,,1:16.695
