verse,ar,en,nl,timestamps
101:1,الْقَارِعَةُ,The Striking Calamity -,De ramp.,0:00.768
101:2,مَا الْقَارِعَةُ,What is the Striking Calamity?,Wat is de ramp?,0:02.461
101:3,وَمَا أَدْرَىكَ مَا الْقَارِعَةُ,And what can make you know what is the Striking Calamity?,En wat laat jou weten wat de ramp is?,0:04.888
101:4,يَوْمَ يَكُونُ النَّاسُ كَالْفَرَاشِ,"It is the Day when people will be like moths,",Dat is de dag waarop de mensheid,0:10.079
,الْمَبْثُوثِ,"dispersed,",lijkt op verspreide motten.,0:15.000
101:5,وَتَكُونُ الْجِبَالُ كَالْعِهْنِ,"And the mountains will be like wool,",En de bergen,0:19.282
,الْمَنفُوشِ,fluffed up.,lijken op gekaarde wol.,0:22.933
101:6,فَأَمَّا مَن ثَقُلَتْ مَوَزِينُهُ,"Then as for one whose scales are heavy [with good deeds],",Voor degenen wiens weegschaal (met goede daden) dan zwaar weegt.,0:27.327
101:7,فَهُوَ فِى عِيشَةٍ رَّاضِيَةٍ,He will be in a pleasant life.,Hij zal een plezierig leven leiden.,0:33.453
101:8,وَأَمَّا مَنْ خَفَّتْ مَوَزِينُهُ,"But as for one whose scales are light,",Maar voor degene wiens weegschaal licht weegt.,0:37.589
101:9,فَأُمُّهُ هَاوِيَةٌ,His refuge will be an abyss.,Zijn toevlucht is de Hel.,0:42.656
101:10,وَمَا أَدْرَىكَ مَا هِيَهْ,And what can make you know what that is?,En wat laat jou weten wat zij is?,0:46.394
101:11,نَارٌ حَامِيَةٌ,"It is a Fire, intensely hot.",Dat is een laaiend Vuur!,0:51.254
,,,,0:53.965
